t	1	2	3	jO0200	jV0300	
0	0.000174524	0.000349048	0.000174524	-3.49048e-07	1.74524e-07	
5e-05	0.000190229	0.000380459	0.000190229	-3.80459e-07	1.90229e-07	
0.0001	0.000205934	0.000411869	0.000205934	-4.11869e-07	2.05934e-07	
0.00015	0.000221639	0.000443277	0.000221639	-4.43277e-07	2.21639e-07	
0.0002	0.000237342	0.000474685	0.000237342	-4.74685e-07	2.37342e-07	
0.00025	0.000253046	0.000506091	0.000253046	-5.06091e-07	2.53046e-07	
0.0003	0.000268748	0.000537497	0.000268748	-5.37497e-07	2.68748e-07	
0.00035	0.00028445	0.000568901	0.00028445	-5.68901e-07	2.8445e-07	
0.0004	0.000300152	0.000600303	0.000300152	-6.00303e-07	3.00152e-07	
0.00045	0.000315852	0.000631704	0.000315852	-6.31704e-07	3.15852e-07	
0.0005	0.000331552	0.000663104	0.000331552	-6.63104e-07	3.31552e-07	
0.00055	0.000347251	0.000694501	0.000347251	-6.94501e-07	3.47251e-07	
0.0006	0.000362949	0.000725898	0.000362949	-7.25898e-07	3.62949e-07	
0.00065	0.000378646	0.000757292	0.000378646	-7.57292e-07	3.78646e-07	
0.0007	0.000394342	0.000788684	0.000394342	-7.88684e-07	3.94342e-07	
0.00075	0.000410037	0.000820075	0.000410037	-8.20075e-07	4.10037e-07	
0.0008	0.000425732	0.000851463	0.000425732	-8.51463e-07	4.25732e-07	
0.00085	0.000441425	0.00088285	0.000441425	-8.8285e-07	4.41425e-07	
0.0009	0.000457117	0.000914234	0.000457117	-9.14234e-07	4.57117e-07	
0.00095	0.000472808	0.000945616	0.000472808	-9.45616e-07	4.72808e-07	
0.001	0.000488498	0.000976995	0.000488498	-9.76995e-07	4.88498e-07	
0.00105	0.000504186	0.00100837	0.000504186	-1.00837e-06	5.04186e-07	
0.0011	0.000519874	0.00103975	0.000519874	-1.03975e-06	5.19874e-07	
0.00115	0.00053556	0.00107112	0.00053556	-1.07112e-06	5.3556e-07	
0.0012	0.000551244	0.00110249	0.000551244	-1.10249e-06	5.51244e-07	
0.00125	0.000566928	0.00113386	0.000566928	-1.13386e-06	5.66928e-07	
0.0013	0.00058261	0.00116522	0.00058261	-1.16522e-06	5.8261e-07	
0.00135	0.00059829	0.00119658	0.00059829	-1.19658e-06	5.9829e-07	
0.0014	0.00061397	0.00122794	0.00061397	-1.22794e-06	6.1397e-07	
0.00145	0.000629647	0.00125929	0.000629647	-1.25929e-06	6.29647e-07	
0.0015	0.000645323	0.00129065	0.000645323	-1.29065e-06	6.45323e-07	
0.00155	0.000660998	0.001322	0.000660998	-1.322e-06	6.60998e-07	
0.0016	0.00067667	0.00135334	0.00067667	-1.35334e-06	6.7667e-07	
0.00165	0.000692341	0.00138468	0.000692341	-1.38468e-06	6.92341e-07	
0.0017	0.000708011	0.00141602	0.000708011	-1.41602e-06	7.08011e-07	
0.00175	0.000723678	0.00144736	0.000723678	-1.44736e-06	7.23678e-07	
0.0018	0.000739344	0.00147869	0.000739344	-1.47869e-06	7.39344e-07	
0.00185	0.000755008	0.00151002	0.000755008	-1.51002e-06	7.55008e-07	
0.0019	0.000770671	0.00154134	0.000770671	-1.54134e-06	7.70671e-07	
0.00195	0.000786331	0.00157266	0.000786331	-1.57266e-06	7.86331e-07	
0.002	0.000801989	0.00160398	0.000801989	-1.60398e-06	8.01989e-07	
0.00205	0.000817646	0.00163529	0.000817646	-1.63529e-06	8.17646e-07	
0.0021	0.0008333	0.0016666	0.0008333	-1.6666e-06	8.333e-07	
0.00215	0.000848952	0.0016979	0.000848952	-1.6979e-06	8.48952e-07	
0.0022	0.000864602	0.0017292	0.000864602	-1.7292e-06	8.64602e-07	
0.00225	0.000880251	0.0017605	0.000880251	-1.7605e-06	8.80251e-07	
0.0023	0.000895896	0.00179179	0.000895896	-1.79179e-06	8.95896e-07	
0.00235	0.00091154	0.00182308	0.00091154	-1.82308e-06	9.1154e-07	
0.0024	0.000927182	0.00185436	0.000927182	-1.85436e-06	9.27182e-07	
0.00245	0.000942821	0.00188564	0.000942821	-1.88564e-06	9.42821e-07	
0.0025	0.000958458	0.00191692	0.000958458	-1.91692e-06	9.58458e-07	
0.00255	0.000974092	0.00194818	0.000974092	-1.94818e-06	9.74092e-07	
0.0026	0.000989724	0.00197945	0.000989724	-1.97945e-06	9.89724e-07	
0.00265	0.00100535	0.00201071	0.00100535	-2.01071e-06	1.00535e-06	
0.0027	0.00102098	0.00204196	0.00102098	-2.04196e-06	1.02098e-06	
0.00275	0.00103661	0.00207321	0.00103661	-2.07321e-06	1.03661e-06	
0.0028	0.00105223	0.00210445	0.00105223	-2.10445e-06	1.05223e-06	
0.00285	0.00106785	0.00213569	0.00106785	-2.13569e-06	1.06785e-06	
0.0029	0.00108346	0.00216693	0.00108346	-2.16693e-06	1.08346e-06	
0.00295	0.00109908	0.00219816	0.00109908	-2.19816e-06	1.09908e-06	
0.003	0.00111469	0.00222938	0.00111469	-2.22938e-06	1.11469e-06	
0.00305	0.0011303	0.0022606	0.0011303	-2.2606e-06	1.1303e-06	
0.0031	0.0011459	0.00229181	0.0011459	-2.29181e-06	1.1459e-06	
0.00315	0.00116151	0.00232301	0.00116151	-2.32301e-06	1.16151e-06	
0.0032	0.00117711	0.00235421	0.00117711	-2.35421e-06	1.17711e-06	
0.00325	0.0011927	0.00238541	0.0011927	-2.38541e-06	1.1927e-06	
0.0033	0.0012083	0.0024166	0.0012083	-2.4166e-06	1.2083e-06	
0.00335	0.00122389	0.00244778	0.00122389	-2.44778e-06	1.22389e-06	
0.0034	0.00123948	0.00247896	0.00123948	-2.47896e-06	1.23948e-06	
0.00345	0.00125506	0.00251013	0.00125506	-2.51013e-06	1.25506e-06	
0.0035	0.00127065	0.00254129	0.00127065	-2.54129e-06	1.27065e-06	
0.00355	0.00128623	0.00257245	0.00128623	-2.57245e-06	1.28623e-06	
0.0036	0.0013018	0.0026036	0.0013018	-2.6036e-06	1.3018e-06	
0.00365	0.00131737	0.00263475	0.00131737	-2.63475e-06	1.31737e-06	
0.0037	0.00133294	0.00266589	0.00133294	-2.66589e-06	1.33294e-06	
0.00375	0.00134851	0.00269702	0.00134851	-2.69702e-06	1.34851e-06	
0.0038	0.00136407	0.00272814	0.00136407	-2.72814e-06	1.36407e-06	
0.00385	0.00137963	0.00275926	0.00137963	-2.75926e-06	1.37963e-06	
0.0039	0.00139519	0.00279038	0.00139519	-2.79038e-06	1.39519e-06	
0.00395	0.00141074	0.00282148	0.00141074	-2.82148e-06	1.41074e-06	
