t	1	2	jL0100	jV0200	
0	2	2	2e-13	-2e-13	
1e-06	2.00001	2.00001	2.00001e-13	-2.00001e-13	
2e-06	2.00003	2.00003	2.00002e-13	-2.00002e-13	
3e-06	2.00004	2.00004	2.00003e-13	-2.00003e-13	
4e-06	2.00005	2.00005	2.00004e-13	-2.00004e-13	
5e-06	2.00006	2.00006	2.00006e-13	-2.00006e-13	
6e-06	2.00008	2.00008	2.00007e-13	-2.00007e-13	
7e-06	2.00009	2.00009	2.00008e-13	-2.00008e-13	
8e-06	2.0001	2.0001	2.00009e-13	-2.00009e-13	
9e-06	2.00011	2.00011	2.00011e-13	-2.00011e-13	
1e-05	2.00013	2.00013	2.00012e-13	-2.00012e-13	
1.1e-05	2.00014	2.00014	2.00013e-13	-2.00013e-13	
1.2e-05	2.00015	2.00015	2.00014e-13	-2.00014e-13	
1.3e-05	2.00016	2.00016	2.00016e-13	-2.00016e-13	
1.4e-05	2.00018	2.00018	2.00017e-13	-2.00017e-13	
1.5e-05	2.00019	2.00019	2.00018e-13	-2.00018e-13	
1.6e-05	2.0002	2.0002	2.00019e-13	-2.00019e-13	
1.7e-05	2.00021	2.00021	2.00021e-13	-2.00021e-13	
1.8e-05	2.00023	2.00023	2.00022e-13	-2.00022e-13	
1.9e-05	2.00024	2.00024	2.00023e-13	-2.00023e-13	
2e-05	2.00025	2.00025	2.00025e-13	-2.00025e-13	
2.1e-05	2.00026	2.00026	2.00026e-13	-2.00026e-13	
2.2e-05	2.00028	2.00028	2.00027e-13	-2.00027e-13	
2.3e-05	2.00029	2.00029	2.00028e-13	-2.00028e-13	
2.4e-05	2.0003	2.0003	2.0003e-13	-2.0003e-13	
2.5e-05	2.00031	2.00031	2.00031e-13	-2.00031e-13	
2.6e-05	2.00033	2.00033	2.00032e-13	-2.00032e-13	
2.7e-05	2.00034	2.00034	2.00033e-13	-2.00033e-13	
2.8e-05	2.00035	2.00035	2.00035e-13	-2.00035e-13	
2.9e-05	2.00036	2.00036	2.00036e-13	-2.00036e-13	
3e-05	2.00038	2.00038	2.00037e-13	-2.00037e-13	
3.1e-05	2.00039	2.00039	2.00038e-13	-2.00038e-13	
3.2e-05	2.0004	2.0004	2.0004e-13	-2.0004e-13	
3.3e-05	2.00041	2.00041	2.00041e-13	-2.00041e-13	
3.4e-05	2.00043	2.00043	2.00042e-13	-2.00042e-13	
3.5e-05	2.00044	2.00044	2.00043e-13	-2.00043e-13	
3.6e-05	2.00045	2.00045	2.00045e-13	-2.00045e-13	
3.7e-05	2.00046	2.00046	2.00046e-13	-2.00046e-13	
3.8e-05	2.00048	2.00048	2.00047e-13	-2.00047e-13	
3.9e-05	2.00049	2.00049	2.00048e-13	-2.00048e-13	
4e-05	2.0005	2.0005	2.0005e-13	-2.0005e-13	
4.1e-05	2.00052	2.00052	2.00051e-13	-2.00051e-13	
4.2e-05	2.00053	2.00053	2.00052e-13	-2.00052e-13	
4.3e-05	2.00054	2.00054	2.00053e-13	-2.00053e-13	
4.4e-05	2.00055	2.00055	2.00055e-13	-2.00055e-13	
4.5e-05	2.00057	2.00057	2.00056e-13	-2.00056e-13	
4.6e-05	2.00058	2.00058	2.00057e-13	-2.00057e-13	
4.7e-05	2.00059	2.00059	2.00058e-13	-2.00058e-13	
4.8e-05	2.0006	2.0006	2.0006e-13	-2.0006e-13	
4.9e-05	2.00062	2.00062	2.00061e-13	-2.00061e-13	
5e-05	2.00063	2.00063	2.00062e-13	-2.00062e-13	
5.1e-05	2.00064	2.00064	2.00063e-13	-2.00063e-13	
5.2e-05	2.00065	2.00065	2.00065e-13	-2.00065e-13	
5.3e-05	2.00067	2.00067	2.00066e-13	-2.00066e-13	
5.4e-05	2.00068	2.00068	2.00067e-13	-2.00067e-13	
5.5e-05	2.00069	2.00069	2.00068e-13	-2.00068e-13	
5.6e-05	2.0007	2.0007	2.0007e-13	-2.0007e-13	
5.7e-05	2.00072	2.00072	2.00071e-13	-2.00071e-13	
5.8e-05	2.00073	2.00073	2.00072e-13	-2.00072e-13	
5.9e-05	2.00074	2.00074	2.00074e-13	-2.00074e-13	
6e-05	2.00075	2.00075	2.00075e-13	-2.00075e-13	
6.1e-05	2.00077	2.00077	2.00076e-13	-2.00076e-13	
