t 1 2 jL0100 jV0200 
0 2 2 2e-13 -2e-13
0 2 2 2e-13 -2e-13
1e-06 2.02513 2.02312 0.00201156 -0.00201156
2e-06 2.05026 2.04622 0.00404623 -0.00404623
3e-06 2.07539 2.06929 0.00610398 -0.00610398
4e-06 2.10052 2.09234 0.0081848 -0.0081848
5e-06 2.12564 2.11535 0.0102886 -0.0102886
6e-06 2.15076 2.13835 0.0124155 -0.0124155
7e-06 2.17587 2.16131 0.0145653 -0.0145653
8e-06 2.20098 2.18424 0.0167381 -0.0167381
9e-06 2.22607 2.20714 0.0189338 -0.0189338
1e-05 2.25116 2.23001 0.0211524 -0.0211524
1.1e-05 2.27624 2.25285 0.0233938 -0.0233938
1.2e-05 2.30131 2.27565 0.025658 -0.025658
1.3e-05 2.32636 2.29842 0.0279451 -0.0279451
1.4e-05 2.3514 2.32115 0.0302548 -0.0302548
1.5e-05 2.37643 2.34385 0.0325873 -0.0325873
1.6e-05 2.40145 2.3665 0.0349425 -0.0349425
1.7e-05 2.42644 2.38912 0.0373203 -0.0373203
1.8e-05 2.45143 2.4117 0.0397208 -0.0397208
1.9e-05 2.47639 2.43424 0.0421437 -0.0421437
2e-05 2.50133 2.45674 0.0445892 -0.0445892
2.1e-05 2.52626 2.4792 0.0470572 -0.0470572
2.2e-05 2.55116 2.50161 0.0495476 -0.0495476
2.3e-05 2.57604 2.52398 0.0520604 -0.0520604
2.4e-05 2.6009 2.54631 0.0545955 -0.0545955
2.5e-05 2.62574 2.56858 0.057153 -0.057153
2.6e-05 2.65055 2.59082 0.0597327 -0.0597327
2.7e-05 2.67533 2.613 0.0623346 -0.0623346
2.8e-05 2.70009 2.63513 0.0649587 -0.0649587
2.9e-05 2.72482 2.65722 0.0676048 -0.0676048
3e-05 2.74953 2.67925 0.0702731 -0.0702731
3.1e-05 2.7742 2.70123 0.0729633 -0.0729633
3.2e-05 2.79884 2.72316 0.0756755 -0.0756755
3.3e-05 2.82345 2.74504 0.0784096 -0.0784096
3.4e-05 2.84803 2.76686 0.0811656 -0.0811656
3.5e-05 2.87257 2.78863 0.0839433 -0.0839433
3.6e-05 2.89708 2.81034 0.0867428 -0.0867428
3.7e-05 2.92156 2.83199 0.089564 -0.089564
3.8e-05 2.946 2.85359 0.0924068 -0.0924068
3.9e-05 2.9704 2.87513 0.0952711 -0.0952711
4e-05 2.99476 2.8966 0.098157 -0.098157
4.1e-05 3.01908 2.91802 0.101064 -0.101064
4.2e-05 3.04337 2.93937 0.103993 -0.103993
4.3e-05 3.06761 2.96066 0.106943 -0.106943
4.4e-05 3.09181 2.98189 0.109914 -0.109914
4.5e-05 3.11596 3.00306 0.112907 -0.112907
4.6e-05 3.14008 3.02416 0.11592 -0.11592
4.7e-05 3.16414 3.04519 0.118955 -0.118955
4.8e-05 3.18817 3.06616 0.122011 -0.122011
4.9e-05 3.21214 3.08705 0.125087 -0.125087
5e-05 3.23607 3.10788 0.128185 -0.128185
5.1e-05 3.25995 3.12864 0.131303 -0.131303
5.2e-05 3.28377 3.14933 0.134442 -0.134442
5.3e-05 3.30755 3.16995 0.137602 -0.137602
5.4e-05 3.33128 3.1905 0.140782 -0.140782
5.5e-05 3.35495 3.21097 0.143983 -0.143983
5.6e-05 3.37857 3.23137 0.147204 -0.147204
5.7e-05 3.40214 3.25169 0.150445 -0.150445
5.8e-05 3.42565 3.27194 0.153707 -0.153707
5.9e-05 3.4491 3.29211 0.156989 -0.156989
6e-05 3.4725 3.31221 0.160291 -0.160291
6.1e-05 3.49584 3.33222 0.163614 -0.163614
6.2e-05 3.51912 3.35216 0.166956 -0.166956
6.3e-05 3.54234 3.37202 0.170318 -0.170318
6.4e-05 3.56549 3.39179 0.1737 -0.1737
6.5e-05 3.58859 3.41149 0.177101 -0.177101
6.6e-05 3.61163 3.4311 0.180523 -0.180523
6.7e-05 3.6346 3.45063 0.183964 -0.183964
6.8e-05 3.6575 3.47008 0.187424 -0.187424
6.9e-05 3.68034 3.48944 0.190904 -0.190904
7e-05 3.70312 3.50871 0.194403 -0.194403
7.1e-05 3.72582 3.5279 0.197921 -0.197921
7.2e-05 3.74846 3.547 0.201459 -0.201459
7.3e-05 3.77103 3.56602 0.205015 -0.205015
7.4e-05 3.79353 3.58494 0.20859 -0.20859
7.5e-05 3.81596 3.60378 0.212185 -0.212185
7.6e-05 3.83832 3.62252 0.215798 -0.215798
7.7e-05 3.8606 3.64117 0.21943 -0.21943
7.8e-05 3.88282 3.65974 0.22308 -0.22308
7.9e-05 3.90495 3.6782 0.226749 -0.226749
8e-05 3.92701 3.69658 0.230437 -0.230437
8.1e-05 3.949 3.71486 0.234142 -0.234142
8.2e-05 3.97091 3.73304 0.237866 -0.237866
8.3e-05 3.99274 3.75113 0.241608 -0.241608
8.4e-05 4.01449 3.76912 0.245369 -0.245369
8.5e-05 4.03617 3.78702 0.249147 -0.249147
8.6e-05 4.05776 3.80482 0.252943 -0.252943
8.7e-05 4.07927 3.82251 0.256756 -0.256756
8.8e-05 4.1007 3.84011 0.260588 -0.260588
8.9e-05 4.12204 3.85761 0.264436 -0.264436
9e-05 4.14331 3.875 0.268303 -0.268303
9.1e-05 4.16449 3.8923 0.272186 -0.272186
9.2e-05 4.18558 3.90949 0.276087 -0.276087
9.3e-05 4.20658 3.92658 0.280005 -0.280005
9.4e-05 4.2275 3.94356 0.28394 -0.28394
9.5e-05 4.24833 3.96044 0.287892 -0.287892
9.6e-05 4.26908 3.97721 0.291861 -0.291861
9.7e-05 4.28973 3.99388 0.295847 -0.295847
9.8e-05 4.31029 4.01044 0.299849 -0.299849
9.9e-05 4.33076 4.02689 0.303868 -0.303868
0.0001 4.35114 4.04324 0.307903 -0.307903
0.000101 4.37143 4.05947 0.311954 -0.311954
0.000102 4.39162 4.0756 0.316021 -0.316021
0.000103 4.41172 4.09161 0.320105 -0.320105
0.000104 4.43172 4.10752 0.324205 -0.324205
0.000105 4.45163 4.12331 0.32832 -0.32832
0.000106 4.47144 4.13899 0.332451 -0.332451
0.000107 4.49115 4.15455 0.336598 -0.336598
0.000108 4.51077 4.17001 0.34076 -0.34076
0.000109 4.53028 4.18534 0.344938 -0.344938
0.00011 4.5497 4.20057 0.349131 -0.349131
0.000111 4.56901 4.21567 0.353339 -0.353339
0.000112 4.58822 4.23066 0.357562 -0.357562
0.000113 4.60733 4.24553 0.3618 -0.3618
0.000114 4.62634 4.26029 0.366053 -0.366053
0.000115 4.64525 4.27493 0.370321 -0.370321
0.000116 4.66405 4.28944 0.374603 -0.374603
0.000117 4.68274 4.30384 0.3789 -0.3789
0.000118 4.70133 4.31812 0.383211 -0.383211
0.000119 4.71981 4.33228 0.387536 -0.387536
0.00012 4.73819 4.34631 0.391875 -0.391875
0.000121 4.75646 4.36023 0.396228 -0.396228
0.000122 4.77461 4.37402 0.400596 -0.400596
0.000123 4.79266 4.38769 0.404976 -0.404976
0.000124 4.8106 4.40123 0.409371 -0.409371
0.000125 4.82843 4.41465 0.413779 -0.413779
0.000126 4.84614 4.42794 0.4182 -0.4182
0.000127 4.86375 4.44111 0.422635 -0.422635
0.000128 4.88124 4.45415 0.427082 -0.427082
0.000129 4.89861 4.46707 0.431543 -0.431543
0.00013 4.91587 4.47986 0.436016 -0.436016
0.000131 4.93302 4.49252 0.440502 -0.440502
0.000132 4.95005 4.50505 0.445001 -0.445001
0.000133 4.96697 4.51745 0.449513 -0.449513
0.000134 4.98376 4.52973 0.454036 -0.454036
0.000135 5.00044 4.54187 0.458572 -0.458572
0.000136 5.01701 4.55389 0.46312 -0.46312
0.000137 5.03345 4.56577 0.46768 -0.46768
0.000138 5.04977 4.57752 0.472251 -0.472251
0.000139 5.06597 4.58914 0.476835 -0.476835
0.00014 5.08205 4.60062 0.481429 -0.481429
0.000141 5.09801 4.61198 0.486036 -0.486036
0.000142 5.11385 4.6232 0.490653 -0.490653
0.000143 5.12956 4.63428 0.495282 -0.495282
0.000144 5.14515 4.64523 0.499922 -0.499922
