t	1	2	3	jL0300	jC0103	jV0200	
0	10	10	10	1e-10	1e-10	-1e-10	
0.01	0.1	0.1	0.1	5.05e-11	5.05e-11	-5.05e-11	
0.02	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.03	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.04	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.05	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.06	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.07	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.08	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.09	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.1	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.11	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.12	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.13	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.14	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.15	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.16	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.17	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.18	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.19	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.2	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.21	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.22	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.23	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.24	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.25	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.26	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.27	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.28	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.29	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.3	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.31	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.32	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.33	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.34	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.35	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.36	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.37	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.38	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.39	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.4	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.41	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.42	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.43	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.44	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.45	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.46	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.47	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.48	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.49	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.5	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.51	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.52	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.53	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.54	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.55	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.56	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.57	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.58	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.59	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.6	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.61	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.62	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.63	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.64	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.65	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.66	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.67	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.68	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.69	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.7	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.71	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.72	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.73	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.74	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.75	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.76	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.77	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.78	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.79	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.8	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.81	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.82	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.83	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.84	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.85	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.86	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.87	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.88	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.89	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.9	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.91	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.92	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.93	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.94	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.95	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.96	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.97	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.98	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
0.99	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.01	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.02	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.03	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.04	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.05	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.06	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.07	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.08	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.09	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.1	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.11	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.12	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.13	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.14	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.15	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.16	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.17	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.18	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.19	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.2	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.21	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.22	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.23	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.24	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.25	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.26	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.27	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.28	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.29	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.3	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.31	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
1.32	0.1	0.1	0.1	1e-12	1e-12	-1e-12	
