t	1	2	3	jV0100	jO0300	
0	0	0	0	-0	0	
0.001	0.00628314	0	-0.00628314	-0.00628314	0.0125663	
0.002	0.012566	0	-0.012566	-0.012566	0.0251321	
0.003	0.0188484	1.73472e-18	-0.0188484	-0.0188484	0.0376969	
0.004	0.0251301	0	-0.0251301	-0.0251301	0.0502602	
0.005	0.0314108	3.46945e-18	-0.0314108	-0.0314108	0.0628215	
0.006	0.0376902	3.46945e-18	-0.0376902	-0.0376902	0.0753804	
0.007	0.0439681	-3.46945e-18	-0.0439681	-0.0439681	0.0879362	
0.008	0.0502443	0	-0.0502443	-0.0502443	0.100489	
0.009	0.0565185	0	-0.0565185	-0.0565185	0.113037	
0.01	0.0627905	6.93889e-18	-0.0627905	-0.0627905	0.125581	
0.011	0.06906	6.93889e-18	-0.06906	-0.06906	0.13812	
0.012	0.0753268	0	-0.0753268	-0.0753268	0.150654	
0.013	0.0815906	0	-0.0815906	-0.0815906	0.163181	
0.014	0.0878512	-6.93889e-18	-0.0878512	-0.0878512	0.175702	
0.015	0.0941083	0	-0.0941083	-0.0941083	0.188217	
0.016	0.100362	0	-0.100362	-0.100362	0.200723	
0.017	0.106611	0	-0.106611	-0.106611	0.213222	
0.018	0.112856	0	-0.112856	-0.112856	0.225713	
0.019	0.119097	0	-0.119097	-0.119097	0.238194	
0.02	0.125333	0	-0.125333	-0.125333	0.250666	
0.021	0.131564	0	-0.131564	-0.131564	0.263129	
0.022	0.13779	0	-0.13779	-0.13779	0.275581	
0.023	0.144011	0	-0.144011	-0.144011	0.288022	
0.024	0.150226	0	-0.150226	-0.150226	0.300451	
0.025	0.156434	0	-0.156434	-0.156434	0.312869	
0.026	0.162637	0	-0.162637	-0.162637	0.325274	
0.027	0.168833	0	-0.168833	-0.168833	0.337667	
0.028	0.175023	-1.38778e-17	-0.175023	-0.175023	0.350046	
0.029	0.181206	-1.38778e-17	-0.181206	-0.181206	0.362412	
0.03	0.187381	0	-0.187381	-0.187381	0.374763	
0.031	0.193549	0	-0.193549	-0.193549	0.387099	
0.032	0.19971	0	-0.19971	-0.19971	0.39942	
0.033	0.205863	0	-0.205863	-0.205863	0.411725	
0.034	0.212007	0	-0.212007	-0.212007	0.424014	
0.035	0.218143	0	-0.218143	-0.218143	0.436286	
0.036	0.224271	0	-0.224271	-0.224271	0.448542	
0.037	0.230389	0	-0.230389	-0.230389	0.460779	
0.038	0.236499	0	-0.236499	-0.236499	0.472998	
0.039	0.242599	0	-0.242599	-0.242599	0.485198	
0.04	0.24869	0	-0.24869	-0.24869	0.49738	
0.041	0.254771	0	-0.254771	-0.254771	0.509541	
0.042	0.260842	0	-0.260842	-0.260842	0.521683	
0.043	0.266902	0	-0.266902	-0.266902	0.533804	
0.044	0.272952	0	-0.272952	-0.272952	0.545904	
0.045	0.278991	0	-0.278991	-0.278991	0.557982	
0.046	0.285019	2.77556e-17	-0.285019	-0.285019	0.570039	
0.047	0.291036	0	-0.291036	-0.291036	0.582072	
0.048	0.297042	0	-0.297042	-0.297042	0.594083	
0.049	0.303035	0	-0.303035	-0.303035	0.606071	
