t	1	2	jV0100	jL0300	
0	0	0	0	0	
0.0001	0.0627905	0.0627905	-3.13953e-19	3.13953e-19	
0.0002	0.125333	0.125333	-9.40619e-19	9.40619e-19	
0.0003	0.187381	0.187381	-1.56357e-18	1.56357e-18	
0.0004	0.24869	0.24869	-2.18036e-18	2.18036e-18	
0.0005	0.309017	0.309017	-2.78853e-18	2.78853e-18	
0.0006	0.368125	0.368125	-3.38571e-18	3.38571e-18	
0.0007	0.425779	0.425779	-3.96952e-18	3.96952e-18	
0.0008	0.481754	0.481754	-4.53766e-18	4.53766e-18	
0.0009	0.535827	0.535827	-5.0879e-18	5.0879e-18	
0.001	0.587785	0.587785	-5.61806e-18	5.61806e-18	
0.0011	0.637424	0.637424	-6.12605e-18	6.12605e-18	
0.0012	0.684547	0.684547	-6.60986e-18	6.60986e-18	
0.0013	0.728969	0.728969	-7.06758e-18	7.06758e-18	
0.0014	0.770513	0.770513	-7.49741e-18	7.49741e-18	
0.0015	0.809017	0.809017	-7.89765e-18	7.89765e-18	
0.0016	0.844328	0.844328	-8.26672e-18	8.26672e-18	
0.0017	0.876307	0.876307	-8.60317e-18	8.60317e-18	
0.0018	0.904827	0.904827	-8.90567e-18	8.90567e-18	
0.0019	0.929776	0.929776	-9.17302e-18	9.17302e-18	
0.002	0.951057	0.951057	-9.40417e-18	9.40417e-18	
0.0021	0.968583	0.968583	-9.5982e-18	9.5982e-18	
0.0022	0.982287	0.982287	-9.75435e-18	9.75435e-18	
0.0023	0.992115	0.992115	-9.87201e-18	9.87201e-18	
0.0024	0.998027	0.998027	-9.95071e-18	9.95071e-18	
0.0025	1	1	-9.99013e-18	9.99013e-18	
0.0026	0.998027	0.998027	-9.99013e-18	9.99013e-18	
0.0027	0.992115	0.992115	-9.95071e-18	9.95071e-18	
0.0028	0.982287	0.982287	-9.87201e-18	9.87201e-18	
0.0029	0.968583	0.968583	-9.75435e-18	9.75435e-18	
0.003	0.951057	0.951057	-9.5982e-18	9.5982e-18	
0.0031	0.929776	0.929776	-9.40417e-18	9.40417e-18	
0.0032	0.904827	0.904827	-9.17302e-18	9.17302e-18	
0.0033	0.876307	0.876307	-8.90567e-18	8.90567e-18	
0.0034	0.844328	0.844328	-8.60317e-18	8.60317e-18	
0.0035	0.809017	0.809017	-8.26672e-18	8.26672e-18	
0.0036	0.770513	0.770513	-7.89765e-18	7.89765e-18	
0.0037	0.728969	0.728969	-7.49741e-18	7.49741e-18	
0.0038	0.684547	0.684547	-7.06758e-18	7.06758e-18	
0.0039	0.637424	0.637424	-6.60986e-18	6.60986e-18	
0.004	0.587785	0.587785	-6.12605e-18	6.12605e-18	
0.0041	0.535827	0.535827	-5.61806e-18	5.61806e-18	
0.0042	0.481754	0.481754	-5.0879e-18	5.0879e-18	
0.0043	0.425779	0.425779	-4.53766e-18	4.53766e-18	
0.0044	0.368125	0.368125	-3.96952e-18	3.96952e-18	
0.0045	0.309017	0.309017	-3.38571e-18	3.38571e-18	
0.0046	0.24869	0.24869	-2.78853e-18	2.78853e-18	
0.0047	0.187381	0.187381	-2.18036e-18	2.18036e-18	
0.0048	0.125333	0.125333	-1.56357e-18	1.56357e-18	
0.0049	0.0627905	0.0627905	-9.40619e-19	9.40619e-19	
0.005	1.22465e-16	1.22151e-16	-3.13953e-19	3.13953e-19	
0.0051	-0.0627905	-0.0627905	3.13953e-19	-3.13953e-19	
0.0052	-0.125333	-0.125333	9.40619e-19	-9.40619e-19	
0.0053	-0.187381	-0.187381	1.56357e-18	-1.56357e-18	
0.0054	-0.24869	-0.24869	2.18036e-18	-2.18036e-18	
0.0055	-0.309017	-0.309017	2.78853e-18	-2.78853e-18	
0.0056	-0.368125	-0.368125	3.38571e-18	-3.38571e-18	
0.0057	-0.425779	-0.425779	3.96952e-18	-3.96952e-18	
0.0058	-0.481754	-0.481754	4.53766e-18	-4.53766e-18	
0.0059	-0.535827	-0.535827	5.0879e-18	-5.0879e-18	
0.006	-0.587785	-0.587785	5.61806e-18	-5.61806e-18	
0.0061	-0.637424	-0.637424	6.12605e-18	-6.12605e-18	
0.0062	-0.684547	-0.684547	6.60986e-18	-6.60986e-18	
0.0063	-0.728969	-0.728969	7.06758e-18	-7.06758e-18	
0.0064	-0.770513	-0.770513	7.49741e-18	-7.49741e-18	
0.0065	-0.809017	-0.809017	7.89765e-18	-7.89765e-18	
0.0066	-0.844328	-0.844328	8.26672e-18	-8.26672e-18	
0.0067	-0.876307	-0.876307	8.60317e-18	-8.60317e-18	
0.0068	-0.904827	-0.904827	8.90567e-18	-8.90567e-18	
0.0069	-0.929776	-0.929776	9.17302e-18	-9.17302e-18	
0.007	-0.951057	-0.951057	9.40417e-18	-9.40417e-18	
0.0071	-0.968583	-0.968583	9.5982e-18	-9.5982e-18	
0.0072	-0.982287	-0.982287	9.75435e-18	-9.75435e-18	
0.0073	-0.992115	-0.992115	9.87201e-18	-9.87201e-18	
0.0074	-0.998027	-0.998027	9.95071e-18	-9.95071e-18	
0.0075	-1	-1	9.99013e-18	-9.99013e-18	
0.0076	-0.998027	-0.998027	9.99013e-18	-9.99013e-18	
0.0077	-0.992115	-0.992115	9.95071e-18	-9.95071e-18	
0.0078	-0.982287	-0.982287	9.87201e-18	-9.87201e-18	
0.0079	-0.968583	-0.968583	9.75435e-18	-9.75435e-18	
0.008	-0.951057	-0.951057	9.5982e-18	-9.5982e-18	
0.0081	-0.929776	-0.929776	9.40417e-18	-9.40417e-18	
0.0082	-0.904827	-0.904827	9.17302e-18	-9.17302e-18	
0.0083	-0.876307	-0.876307	8.90567e-18	-8.90567e-18	
0.0084	-0.844328	-0.844328	8.60317e-18	-8.60317e-18	
0.0085	-0.809017	-0.809017	8.26672e-18	-8.26672e-18	
0.0086	-0.770513	-0.770513	7.89765e-18	-7.89765e-18	
0.0087	-0.728969	-0.728969	7.49741e-18	-7.49741e-18	
0.0088	-0.684547	-0.684547	7.06758e-18	-7.06758e-18	
0.0089	-0.637424	-0.637424	6.60986e-18	-6.60986e-18	
0.009	-0.587785	-0.587785	6.12605e-18	-6.12605e-18	
0.0091	-0.535827	-0.535827	5.61806e-18	-5.61806e-18	
0.0092	-0.481754	-0.481754	5.0879e-18	-5.0879e-18	
0.0093	-0.425779	-0.425779	4.53766e-18	-4.53766e-18	
0.0094	-0.368125	-0.368125	3.96952e-18	-3.96952e-18	
0.0095	-0.309017	-0.309017	3.38571e-18	-3.38571e-18	
0.0096	-0.24869	-0.24869	2.78853e-18	-2.78853e-18	
0.0097	-0.187381	-0.187381	2.18036e-18	-2.18036e-18	
0.0098	-0.125333	-0.125333	1.56357e-18	-1.56357e-18	
0.0099	-0.0627905	-0.0627905	9.40619e-19	-9.40619e-19	
0.01	-2.90946e-15	-2.90915e-15	3.13953e-19	-3.13953e-19	
0.0101	0.0627905	0.0627905	-3.13953e-19	3.13953e-19	
0.0102	0.125333	0.125333	-9.40619e-19	9.40619e-19	
0.0103	0.187381	0.187381	-1.56357e-18	1.56357e-18	
0.0104	0.24869	0.24869	-2.18036e-18	2.18036e-18	
0.0105	0.309017	0.309017	-2.78853e-18	2.78853e-18	
0.0106	0.368125	0.368125	-3.38571e-18	3.38571e-18	
0.0107	0.425779	0.425779	-3.96952e-18	3.96952e-18	
0.0108	0.481754	0.481754	-4.53766e-18	4.53766e-18	
0.0109	0.535827	0.535827	-5.0879e-18	5.0879e-18	
0.011	0.587785	0.587785	-5.61806e-18	5.61806e-18	
0.0111	0.637424	0.637424	-6.12605e-18	6.12605e-18	
0.0112	0.684547	0.684547	-6.60986e-18	6.60986e-18	
0.0113	0.728969	0.728969	-7.06758e-18	7.06758e-18	
0.0114	0.770513	0.770513	-7.49741e-18	7.49741e-18	
0.0115	0.809017	0.809017	-7.89765e-18	7.89765e-18	
0.0116	0.844328	0.844328	-8.26672e-18	8.26672e-18	
0.0117	0.876307	0.876307	-8.60317e-18	8.60317e-18	
0.0118	0.904827	0.904827	-8.90567e-18	8.90567e-18	
0.0119	0.929776	0.929776	-9.17302e-18	9.17302e-18	
0.012	0.951057	0.951057	-9.40417e-18	9.40417e-18	
0.0121	0.968583	0.968583	-9.5982e-18	9.5982e-18	
0.0122	0.982287	0.982287	-9.75435e-18	9.75435e-18	
