t	1	2	jV0100	
0	0	0	-0	
0.001	0.00628314	0.00314157	-0.00942472	
0.002	0.012566	0.00628302	-0.0188491	
0.003	0.0188484	0.00942422	-0.0282727	
0.004	0.0251301	0.012565	-0.0376951	
0.005	0.0314108	0.0157054	-0.0471161	
0.006	0.0376902	0.0188451	-0.0565353	
0.007	0.0439681	0.0219841	-0.0659522	
0.008	0.0502443	0.0251222	-0.0753665	
0.009	0.0565185	0.0282593	-0.0847778	
0.01	0.0627905	0.0313953	-0.0941858	
0.011	0.06906	0.03453	-0.10359	
0.012	0.0753268	0.0376634	-0.11299	
0.013	0.0815906	0.0407953	-0.122386	
0.014	0.0878512	0.0439256	-0.131777	
0.015	0.0941083	0.0470542	-0.141162	
0.016	0.100362	0.0501809	-0.150543	
0.017	0.106611	0.0533056	-0.159917	
0.018	0.112856	0.0564282	-0.169285	
0.019	0.119097	0.0595486	-0.178646	
0.02	0.125333	0.0626666	-0.188	
0.021	0.131564	0.0657822	-0.197347	
0.022	0.13779	0.0688951	-0.206685	
0.023	0.144011	0.0720054	-0.216016	
0.024	0.150226	0.0751128	-0.225338	
0.025	0.156434	0.0782172	-0.234652	
0.026	0.162637	0.0813186	-0.243956	
0.027	0.168833	0.0844167	-0.25325	
0.028	0.175023	0.0875115	-0.262535	
0.029	0.181206	0.0906029	-0.271809	
0.03	0.187381	0.0936907	-0.281072	
0.031	0.193549	0.0967747	-0.290324	
0.032	0.19971	0.099855	-0.299565	
0.033	0.205863	0.102931	-0.308794	
0.034	0.212007	0.106004	-0.318011	
0.035	0.218143	0.109072	-0.327215	
0.036	0.224271	0.112135	-0.336406	
0.037	0.230389	0.115195	-0.345584	
0.038	0.236499	0.118249	-0.354748	
0.039	0.242599	0.1213	-0.363899	
0.04	0.24869	0.124345	-0.373035	
0.041	0.254771	0.127385	-0.382156	
0.042	0.260842	0.130421	-0.391262	
0.043	0.266902	0.133451	-0.400353	
0.044	0.272952	0.136476	-0.409428	
0.045	0.278991	0.139496	-0.418487	
0.046	0.285019	0.14251	-0.427529	
0.047	0.291036	0.145518	-0.436554	
0.048	0.297042	0.148521	-0.445562	
0.049	0.303035	0.151518	-0.454553	
0.05	0.309017	0.154508	-0.463525	
0.051	0.314987	0.157493	-0.47248	
0.052	0.320944	0.160472	-0.481415	
0.053	0.326888	0.163444	-0.490332	
0.054	0.33282	0.16641	-0.499229	
0.055	0.338738	0.169369	-0.508107	
0.056	0.344643	0.172321	-0.516964	
0.057	0.350534	0.175267	-0.525801	
0.058	0.356412	0.178206	-0.534618	
0.059	0.362275	0.181138	-0.543413	
0.06	0.368125	0.184062	-0.552187	
0.061	0.373959	0.18698	-0.560939	
0.062	0.379779	0.18989	-0.569669	
0.063	0.385584	0.192792	-0.578376	
0.064	0.391374	0.195687	-0.587061	
0.065	0.397148	0.198574	-0.595722	
0.066	0.402906	0.201453	-0.60436	
0.067	0.408649	0.204325	-0.612974	
0.068	0.414376	0.207188	-0.621563	
0.069	0.420086	0.210043	-0.630129	
0.07	0.425779	0.21289	-0.638669	
0.071	0.431456	0.215728	-0.647184	
0.072	0.437116	0.218558	-0.655674	
0.073	0.442758	0.221379	-0.664137	
0.074	0.448383	0.224192	-0.672575	
0.075	0.45399	0.226995	-0.680986	
0.076	0.45958	0.22979	-0.68937	
0.077	0.465151	0.232576	-0.697727	
0.078	0.470704	0.235352	-0.706056	
0.079	0.476238	0.238119	-0.714357	
0.08	0.481754	0.240877	-0.722631	
0.081	0.48725	0.243625	-0.730875	
0.082	0.492727	0.246364	-0.739091	
0.083	0.498185	0.249093	-0.747278	
0.084	0.503623	0.251812	-0.755435	
0.085	0.509041	0.000508533	-0.50955	
0.086	0.51444	0.000513926	-0.514953	
0.087	0.519817	0.000519298	-0.520337	
0.088	0.525175	0.00052465	-0.525699	
0.089	0.530511	0.000529981	-0.531041	
0.09	0.535827	0.000535292	-0.536362	
0.091	0.541121	0.000540581	-0.541662	
0.092	0.546394	0.000545848	-0.54694	
0.093	0.551646	0.000551095	-0.552197	
0.094	0.556876	0.000556319	-0.557432	
0.095	0.562083	0.000561522	-0.562645	
0.096	0.567269	0.000566702	-0.567836	
0.097	0.572432	0.00057186	-0.573004	
0.098	0.577573	0.000576996	-0.57815	
0.099	0.58269	0.000582108	-0.583273	
0.1	0.587785	0.000587198	-0.588372	
0.101	0.592857	0.000592265	-0.593449	
0.102	0.597905	0.000597308	-0.598502	
0.103	0.60293	0.000602327	-0.603532	
0.104	0.60793	0.000607323	-0.608538	
0.105	0.612907	0.000612295	-0.613519	
0.106	0.61786	0.000617242	-0.618477	
0.107	0.622788	0.000622166	-0.62341	
0.108	0.627691	0.000627064	-0.628318	
0.109	0.63257	0.000631938	-0.633202	
0.11	0.637424	0.000636787	-0.638061	
0.111	0.642253	0.000641611	-0.642894	
0.112	0.647056	0.00064641	-0.647702	
0.113	0.651834	0.000651183	-0.652485	
0.114	0.656586	0.00065593	-0.657242	
0.115	0.661312	0.000660651	-0.661973	
0.116	0.666012	0.000665347	-0.666677	
0.117	0.670686	0.000670016	-0.671356	
0.118	0.675333	0.000674658	-0.676007	
0.119	0.679953	0.000679274	-0.680633	
0.12	0.684547	0.000683863	-0.685231	
0.121	0.689114	0.000688425	-0.689802	
0.122	0.693653	0.00069296	-0.694346	
0.123	0.698165	0.000697468	-0.698863	
0.124	0.70265	0.000701948	-0.703352	
0.125	0.707107	0.0007064	-0.707813	
0.126	0.711536	0.000710825	-0.712247	
0.127	0.715936	0.000715221	-0.716652	
0.128	0.720309	0.000719589	-0.721029	
0.129	0.724653	0.000723929	-0.725377	
0.13	0.728969	0.00072824	-0.729697	
0.131	0.733255	0.000732523	-0.733988	
0.132	0.737513	0.000736776	-0.73825	
0.133	0.741742	0.000741001	-0.742483	
0.134	0.745941	0.000745196	-0.746686	
0.135	0.750111	0.000749362	-0.75086	
0.136	0.754251	0.000753498	-0.755005	
0.137	0.758362	0.000757604	-0.75912	
0.138	0.762443	0.000761681	-0.763204	
0.139	0.766493	0.000765727	-0.767259	
0.14	0.770513	0.000769743	-0.771283	
0.141	0.774503	0.000773729	-0.775277	
0.142	0.778462	0.000777685	-0.77924	
0.143	0.782391	0.000781609	-0.783172	
0.144	0.786288	0.000785503	-0.787074	
0.145	0.790155	0.000789366	-0.790944	
0.146	0.79399	0.000793197	-0.794784	
0.147	0.797794	0.000796997	-0.798591	
0.148	0.801567	0.000800766	-0.802368	
0.149	0.805308	0.000804503	-0.806112	
0.15	0.809017	0.000808209	-0.809825	
0.151	0.812694	0.000811882	-0.813506	
0.152	0.816339	0.000815524	-0.817155	
0.153	0.819952	0.000819133	-0.820771	
0.154	0.823533	0.00082271	-0.824355	
0.155	0.827081	0.000826254	-0.827907	
0.156	0.830596	0.000829766	-0.831426	
0.157	0.834078	0.000833245	-0.834912	
0.158	0.837528	0.000836691	-0.838365	
0.159	0.840945	0.000840104	-0.841785	
0.16	0.844328	0.000843484	-0.845171	
0.161	0.847678	0.000846831	-0.848525	
0.162	0.850994	0.000850144	-0.851845	
0.163	0.854277	0.000853424	-0.855131	
0.164	0.857527	0.00085667	-0.858383	
0.165	0.860742	0.000859882	-0.861602	
0.166	0.863923	0.00086306	-0.864786	
0.167	0.867071	0.000866204	-0.867937	
0.168	0.870184	0.000869314	-0.871053	
