t	1	2	jV0100	
0	0	0	-0	
0.001	0.0125663	0.00628314	-0.00628314	
0.002	0.0251321	0.012566	-0.012566	
0.003	0.0376969	0.0188484	-0.0188484	
0.004	0.0502602	0.0251301	-0.0251301	
0.005	0.0628215	0.0314108	-0.0314108	
0.006	0.0753804	0.0376902	-0.0376902	
0.007	0.0879362	0.0439681	-0.0439681	
0.008	0.100489	0.0502443	-0.0502443	
0.009	0.113037	0.0565185	-0.0565185	
0.01	0.125581	0.0627905	-0.0627905	
0.011	0.13812	0.06906	-0.06906	
0.012	0.150654	0.0753268	-0.0753268	
0.013	0.163181	0.0815906	-0.0815906	
0.014	0.175702	0.0878512	-0.0878512	
0.015	0.188217	0.0941083	-0.0941083	
0.016	0.200723	0.100362	-0.100362	
0.017	0.213222	0.106611	-0.106611	
0.018	0.225713	0.112856	-0.112856	
0.019	0.238194	0.119097	-0.119097	
0.02	0.250666	0.125333	-0.125333	
0.021	0.263129	0.131564	-0.131564	
0.022	0.275581	0.13779	-0.13779	
0.023	0.288022	0.144011	-0.144011	
0.024	0.300451	0.150226	-0.150226	
0.025	0.312869	0.156434	-0.156434	
0.026	0.325274	0.162637	-0.162637	
0.027	0.337667	0.168833	-0.168833	
0.028	0.350046	0.175023	-0.175023	
0.029	0.362412	0.181206	-0.181206	
0.03	0.374763	0.187381	-0.187381	
0.031	0.387099	0.193549	-0.193549	
0.032	0.39942	0.19971	-0.19971	
0.033	0.411725	0.205863	-0.205863	
0.034	0.424014	0.212007	-0.212007	
0.035	0.436286	0.218143	-0.218143	
0.036	0.448542	0.224271	-0.224271	
0.037	0.460779	0.230389	-0.230389	
0.038	0.472998	0.236499	-0.236499	
0.039	0.485198	0.242599	-0.242599	
0.04	0.49738	0.24869	-0.24869	
0.041	0.509541	0.254771	-0.254771	
0.042	0.521683	0.260842	-0.260842	
0.043	0.533804	0.266902	-0.266902	
0.044	0.545904	0.272952	-0.272952	
0.045	0.557982	0.278991	-0.278991	
0.046	0.570039	0.285019	-0.285019	
0.047	0.582072	0.291036	-0.291036	
0.048	0.594083	0.297042	-0.297042	
0.049	0.606071	0.303035	-0.303035	
0.05	0.618034	0.309017	-0.309017	
0.051	0.629973	0.314987	-0.314987	
0.052	0.641887	0.320944	-0.320944	
0.053	0.653776	0.326888	-0.326888	
0.054	0.665639	0.33282	-0.33282	
0.055	0.677476	0.338738	-0.338738	
0.056	0.689286	0.344643	-0.344643	
0.057	0.701069	0.350534	-0.350534	
0.058	0.712824	0.356412	-0.356412	
0.059	0.724551	0.362275	-0.362275	
0.06	0.736249	0.368125	-0.368125	
0.061	0.747918	0.373959	-0.373959	
0.062	0.759558	0.379779	-0.379779	
0.063	0.771168	0.385584	-0.385584	
0.064	0.782747	0.391374	-0.391374	
0.065	0.794296	0.397148	-0.397148	
0.066	0.805813	0.402906	-0.402906	
0.067	0.817298	0.408649	-0.408649	
0.068	0.828751	0.414376	-0.414376	
0.069	0.840171	0.420086	-0.420086	
0.07	0.851559	0.425779	-0.425779	
0.071	0.862912	0.431456	-0.431456	
0.072	0.874232	0.437116	-0.437116	
0.073	0.885516	0.442758	-0.442758	
0.074	0.896766	0.448383	-0.448383	
0.075	0.907981	0.45399	-0.45399	
0.076	0.91916	0.45958	-0.45958	
0.077	0.930302	0.465151	-0.465151	
0.078	0.941408	0.470704	-0.470704	
0.079	0.952476	0.476238	-0.476238	
0.08	0.963507	0.481754	-0.481754	
0.081	0.9745	0.48725	-0.48725	
0.082	0.985455	0.492727	-0.492727	
0.083	0.99637	0.498185	-0.498185	
0.084	1.00725	0.503623	-0.503623	
0.085	1.01808	0.5	-0.5	
0.086	1.02888	0.5	-0.5	
0.087	1.03963	0.5	-0.5	
0.088	1.05035	0.5	-0.5	
0.089	1.06102	0.5	-0.5	
0.09	1.07165	0.5	-0.5	
0.091	1.08224	0.5	-0.5	
0.092	1.09279	0.5	-0.5	
0.093	1.10329	0.5	-0.5	
0.094	1.11375	0.5	-0.5	
0.095	1.12417	0.5	-0.5	
0.096	1.13454	0.5	-0.5	
0.097	1.14486	0.5	-0.5	
0.098	1.15515	0.5	-0.5	
0.099	1.16538	0.5	-0.5	
0.1	1.17557	0.5	-0.5	
0.101	1.18571	0.5	-0.5	
0.102	1.19581	0.5	-0.5	
0.103	1.20586	0.5	-0.5	
0.104	1.21586	0.5	-0.5	
0.105	1.22581	0.5	-0.5	
0.106	1.23572	0.5	-0.5	
0.107	1.24558	0.5	-0.5	
0.108	1.25538	0.5	-0.5	
0.109	1.26514	0.5	-0.5	
0.11	1.27485	0.5	-0.5	
0.111	1.28451	0.5	-0.5	
0.112	1.29411	0.5	-0.5	
0.113	1.30367	0.5	-0.5	
0.114	1.31317	0.5	-0.5	
0.115	1.32262	0.5	-0.5	
0.116	1.33202	0.5	-0.5	
0.117	1.34137	0.5	-0.5	
0.118	1.35067	0.5	-0.5	
0.119	1.35991	0.5	-0.5	
0.12	1.36909	0.5	-0.5	
0.121	1.37823	0.5	-0.5	
0.122	1.38731	0.5	-0.5	
0.123	1.39633	0.5	-0.5	
0.124	1.4053	0.5	-0.5	
0.125	1.41421	0.5	-0.5	
0.126	1.42307	0.5	-0.5	
0.127	1.43187	0.5	-0.5	
0.128	1.44062	0.5	-0.5	
0.129	1.44931	0.5	-0.5	
0.13	1.45794	0.5	-0.5	
0.131	1.46651	0.5	-0.5	
0.132	1.47503	0.5	-0.5	
0.133	1.48348	0.5	-0.5	
0.134	1.49188	0.5	-0.5	
0.135	1.50022	0.5	-0.5	
0.136	1.5085	0.5	-0.5	
0.137	1.51672	0.5	-0.5	
0.138	1.52489	0.5	-0.5	
0.139	1.53299	0.5	-0.5	
0.14	1.54103	0.5	-0.5	
0.141	1.54901	0.5	-0.5	
0.142	1.55692	0.5	-0.5	
0.143	1.56478	0.5	-0.5	
0.144	1.57258	0.5	-0.5	
0.145	1.58031	0.5	-0.5	
0.146	1.58798	0.5	-0.5	
0.147	1.59559	0.5	-0.5	
0.148	1.60313	0.5	-0.5	
0.149	1.61062	0.5	-0.5	
0.15	1.61803	0.5	-0.5	
0.151	1.62539	0.5	-0.5	
0.152	1.63268	0.5	-0.5	
0.153	1.6399	0.5	-0.5	
0.154	1.64707	0.5	-0.5	
0.155	1.65416	0.5	-0.5	
0.156	1.66119	0.5	-0.5	
0.157	1.66816	0.5	-0.5	
0.158	1.67506	0.5	-0.5	
0.159	1.68189	0.5	-0.5	
0.16	1.68866	0.5	-0.5	
0.161	1.69536	0.5	-0.5	
0.162	1.70199	0.5	-0.5	
0.163	1.70855	0.5	-0.5	
0.164	1.71505	0.5	-0.5	
0.165	1.72148	0.5	-0.5	
0.166	1.72785	0.5	-0.5	
0.167	1.73414	0.5	-0.5	
0.168	1.74037	0.5	-0.5	
0.169	1.74652	0.5	-0.5	
0.17	1.75261	0.5	-0.5	
0.171	1.75863	0.5	-0.5	
0.172	1.76458	0.5	-0.5	
0.173	1.77046	0.5	-0.5	
0.174	1.77627	0.5	-0.5	
0.175	1.78201	0.5	-0.5	
0.176	1.78768	0.5	-0.5	
0.177	1.79328	0.5	-0.5	
0.178	1.79881	0.5	-0.5	
0.179	1.80427	0.5	-0.5	
0.18	1.80965	0.5	-0.5	
0.181	1.81497	0.5	-0.5	
0.182	1.82021	0.5	-0.5	
0.183	1.82538	0.5	-0.5	
0.184	1.83048	0.5	-0.5	
0.185	1.83551	0.5	-0.5	
0.186	1.84046	0.5	-0.5	
0.187	1.84535	0.5	-0.5	
0.188	1.85015	0.5	-0.5	
0.189	1.85489	0.5	-0.5	
0.19	1.85955	0.5	-0.5	
0.191	1.86414	0.5	-0.5	
0.192	1.86866	0.5	-0.5	
0.193	1.8731	0.5	-0.5	
0.194	1.87747	0.5	-0.5	
0.195	1.88176	0.5	-0.5	
0.196	1.88598	0.5	-0.5	
0.197	1.89013	0.5	-0.5	
0.198	1.8942	0.5	-0.5	
0.199	1.89819	0.5	-0.5	
0.2	1.90211	0.5	-0.5	
0.201	1.90596	0.5	-0.5	
0.202	1.90973	0.5	-0.5	
0.203	1.91342	0.5	-0.5	
0.204	1.91704	0.5	-0.5	
0.205	1.92059	0.5	-0.5	
0.206	1.92406	0.5	-0.5	
0.207	1.92745	0.5	-0.5	
0.208	1.93076	0.5	-0.5	
0.209	1.934	0.5	-0.5	
0.21	1.93717	0.5	-0.5	
0.211	1.94025	0.5	-0.5	
0.212	1.94326	0.5	-0.5	
0.213	1.9462	0.5	-0.5	
0.214	1.94905	0.5	-0.5	
0.215	1.95183	0.5	-0.5	
0.216	1.95454	0.5	-0.5	
0.217	1.95716	0.5	-0.5	
0.218	1.95971	0.5	-0.5	
0.219	1.96218	0.5	-0.5	
0.22	1.96457	0.5	-0.5	
0.221	1.96689	0.5	-0.5	
0.222	1.96913	0.5	-0.5	
0.223	1.97129	0.5	-0.5	
0.224	1.97337	0.5	-0.5	
0.225	1.97538	0.5	-0.5	
0.226	1.9773	0.5	-0.5	
0.227	1.97915	0.5	-0.5	
0.228	1.98092	0.5	-0.5	
0.229	1.98262	0.5	-0.5	
0.23	1.98423	0.5	-0.5	
0.231	1.98577	0.5	-0.5	
0.232	1.98722	0.5	-0.5	
0.233	1.9886	0.5	-0.5	
0.234	1.9899	0.5	-0.5	
0.235	1.99112	0.5	-0.5	
0.236	1.99227	0.5	-0.5	
0.237	1.99333	0.5	-0.5	
0.238	1.99432	0.5	-0.5	
0.239	1.99523	0.5	-0.5	
0.24	1.99605	0.5	-0.5	
0.241	1.9968	0.5	-0.5	
0.242	1.99747	0.5	-0.5	
0.243	1.99807	0.5	-0.5	
0.244	1.99858	0.5	-0.5	
