t 1 2 jV1000 
0 10 0 -10
0 10 0 -10
0.001 10 0 -10
0.002 10 0 -10
0.003 10 0 -10
0.004 10 0 -10
0.005 10 0 -10
0.006 10 0 -10
0.007 10 0 -10
0.008 10 0 -10
0.009 10 0 -10
0.01 10 0 -10
0.011 10 0 -10
0.012 10 0 -10
0.013 10 0 -10
0.014 10 0 -10
0.015 10 0 -10
0.016 10 0 -10
0.017 10 0 -10
0.018 10 0 -10
0.019 10 0 -10
0.02 10 0 -10
0.021 10 0 -10
0.022 10 0 -10
0.023 10 0 -10
0.024 10 0 -10
0.025 10 0 -10
0.026 10 0 -10
0.027 10 0 -10
0.028 10 0 -10
0.029 10 0 -10
0.03 10 0 -10
0.031 10 0 -10
0.032 10 0 -10
0.033 10 0 -10
0.034 10 0 -10
0.035 10 0 -10
0.036 10 0 -10
0.037 10 0 -10
0.038 10 0 -10
0.039 10 0 -10
0.04 10 0 -10
0.041 10 0 -10
0.042 10 0 -10
0.043 10 0 -10
0.044 10 0 -10
0.045 10 0 -10
0.046 10 0 -10
0.047 10 0 -10
0.048 10 0 -10
0.049 10 0 -10
0.05 10 0 -10
0.051 10 0 -10
0.052 10 0 -10
0.053 10 0 -10
0.054 10 0 -10
0.055 10 0 -10
0.056 10 0 -10
0.057 10 0 -10
0.058 10 0 -10
0.059 10 0 -10
0.06 10 0 -10
0.061 10 0 -10
0.062 10 0 -10
0.063 10 0 -10
0.064 10 0 -10
0.065 10 0 -10
0.066 10 0 -10
0.067 10 0 -10
0.068 10 0 -10
0.069 10 0 -10
0.07 10 0 -10
0.071 10 0 -10
0.072 10 0 -10
0.073 10 0 -10
0.074 10 0 -10
0.075 10 0 -10
0.076 10 0 -10
0.077 10 0 -10
0.078 10 0 -10
0.079 10 0 -10
0.08 10 0 -10
0.081 10 0 -10
0.082 10 0 -10
0.083 10 0 -10
0.084 10 0 -10
0.085 10 0 -10
0.086 10 0 -10
0.087 10 0 -10
0.088 10 0 -10
0.089 10 0 -10
0.09 10 0 -10
0.091 10 0 -10
0.092 10 0 -10
0.093 10 0 -10
0.094 10 0 -10
0.095 10 0 -10
0.096 10 0 -10
0.097 10 0 -10
0.098 10 0 -10
0.099 10 0 -10
